Author,Text,Date,Score
[deleted],[deleted],2024-04-14 16:46:18,0
mikelson_,Max could have done to Justin what he has done to Tony. Might be career altering damage there,2024-04-14 17:10:45,0
Queequeg94,"I just want to say, Gaethje's performance last night looked really muted and not typical. Even before he got his nose obliterated at the end of the first. Even with that said, Holloway looked so good last night that I don't think that even Gaethje at his best would have beaten him. Holloway created one of the most iconic moments in UFC history last night with that KO",2024-04-14 23:56:19,0
cinammonbear,I was rooting for him so hard till I saw how that kick at the end of the first compromised him. In the end he was no match for the Hawaiian Superman🫡,2024-04-14 15:21:50,-1
Huge_Aerie2435,"I don't understand why people keep saying Dustin had so much to lose from this.. It is just a loss.. Not like his ranks are going to change much.. He is still one of the best lightweights right now, especially because Charles lost.

The BMF isn't even a real belt.  Yes, I know you all hate people saying this, but it literally doesn't matter.",2024-04-14 14:41:13,-5
grapeprimetime,Fuck max. Sneaky little cunt. I think he messed up both of Justin’s eyes on purpose little cocksucker,2024-04-14 23:11:30,-2
cobesmith,I can't look at Gaethje the same ver again please get this guy out of the rankings altogether,2024-04-14 13:00:28,-20
nodiddy4life,"Gaethje is going to retire soon. Wouldn't be surprised if that wasn't his last fight 

That loss stalled his attempt at another title shot.",2024-04-14 15:53:36,301
Aggravating-Sun6773,Ever heard of Andy Wang?,2024-04-14 15:47:20,9
Malikai0976,"I've never seen a fighter get more hate while consistently putting on the kind of shows people want to see when shelling out $$ to buy a ppv. Gaethje is my favorite fighter win or lose, and this (or any other loss) doesn't change that. 

Even his losses usually end up FOTN, and it takes 2 for that to happen.",2024-04-14 19:08:39,28
ScrewFlanders19125,All of them don’t get paid enough but those two deserve 8 figures for that war.,2024-04-14 20:35:55,6
ManInBasement,"Respect goes to holloway , he took the risk",2024-04-14 14:01:22,273
TKFT_ExTr3m3,"True but Justin gave us 4 rounds of a fight that was probably over when he broke his nose. Max even gave him a out twice with the eye pokes and he he didn't even hesitate to keep going. There aren't many guys that would make it 4 rounds in that kind of shape and he fucking delivered. Knocked Max down twice which no one has ever done and then went all in dispite his condition. Sure it was his only real chance of winning but he chose to sacrifice his body for a epic finish and it delivered. Mad respect to him. Max took the bigger risk for the fight but Justin probably took a bigger risk for his career. He might not fight again and I'd say he gave us a hell of a show if this is his last fight. A true BMF. And no disrespect to Max, he fucking delivered but it takes two to tango and imo it was the best fight of the night because of both of them. Max deserved them win and the belt especially for the last 10 seconds but I don't think anyone can say Justin isn't equally as badass.",2024-04-14 21:00:41,13
fzkiz,I think OP means taking that fight instead of waiting for the title fight,2024-04-14 19:13:52,11
ChrizTaylor,# 📠,2024-04-14 17:58:09,3
ayoubkun94,"Yep, all respect goes to Holloway for giving him a final chance at winning. Huge respect for Justin for fighting through that nasty nose injury tho.",2024-04-14 20:49:56,2
the_c_is_silent,"Yeah and not only losing the fight but was performing terrible. Even before the eyepokes and broken nose, he was being very passive. Like credit for toughing it out but getting into a firefight for 10 seconds isn't some insane risk.",2024-04-14 15:19:58,-31
The_kid_laser,Brain damage for our entertainment.,2024-04-14 15:17:05,65
the_c_is_silent,He had the complete opposite. It was his literal only chance to win.,2024-04-14 15:20:02,10
traws06,"My guess is since it was technically for a belt, even as BS as the belt is, he gets a cut of the PPV. Dude is smart enough to know if you can get paid more to fight Max than he can get to fight for the belt, then just fight Max. I also don’t think he viewed Max as an easy win like some ppl somehow thought. It was kind of a bad matchup in that if you’re gonna beat Max then take him down, and JG despite being an elite wrestler seems to be allergic to wrestling in the UFC",2024-04-14 23:03:53,1
Reddings-Finest,Both of them are what the sport needs? You mean fake BMF belts and 10 seconds of flailing after 4 rounds highlighted by eye pokes?,2024-04-14 17:05:24,-22
mmmellowcorn,"I was saying that the whole night and I still can’t get over it. Max stole the show but Justin did what 99.9% of fighters won’t do just for the fight, and full on sacrificed himself with the last 5 seconds. Since the BMF title is fake Justin might as well keep it",2024-04-14 14:05:20,125
traws06,Im betting he got paid a lot more than a title shot would pay. JG is smart enough to know it’s a job and wants to get paid so he can be comfortable when he retires. He’s also a complete badass too so it’s a mix of all of it,2024-04-14 23:04:57,1
lolichaser01,Hes definitely next tho. We already got islam on june.,2024-04-14 14:30:18,-4
MuscularCheeseburger,"That’s UFC for you. Eras go by much quicker than any other sport, a fighters prime can last one year or a decade. When Justin/Charles/Dustin are gone, new fighters will come and knock our socks off just like the old guard did. It’s always bittersweet.",2024-04-15 01:30:54,11
mmmellowcorn,"From a striking standpoint Dustin can probably put up a better scrap like that with Max. But that 5th round call out was so fucking bad ass, Dustin and Max just ignoring their corners putting it on.",2024-04-14 13:58:03,60
PleaseDontDoThatSir,"Arnold Allen and max had a really good scrap right at the end and Arnold brought it too, but max is him and ended up dropping him",2024-04-14 16:05:39,13
Dry_Ad5878,It's funny how that worked out,2024-04-14 20:56:20,6
SpittinMenace,I thought he’d get the shit beat out of him!,2024-04-14 17:43:05,19
OkMarionberry5723,"I admit, I thought Gaethje would take his soul",2024-04-14 19:29:27,4
daviEnnis,"I think Justin changing Tony is a bit overstated. 

He'd taken a ton of damage already, trained stupid, rehab'd stupid, and was at an age of athletic decline regardless.",2024-04-14 18:22:02,11
Gocards123321,Nah Justin will be back at the same level,2024-04-14 15:50:32,6
Peeeing_,"100% fucking cowboy got inducted, Justin's done more than enough",2024-04-14 14:10:49,39
Professional-Trash-3,There's no question hes a Hall of Famer. Anyone that has that many fan favorite wars is an easy pick. He's gonna go in as a fighter and have at least one of his fights in the fight wing too,2024-04-14 14:31:41,11
DementedSquid4,I think him and Dustin probably go in for there first fight at some point if little else,2024-04-14 14:24:52,2
ItsMichaelScott25,I mean I don't know if this counts but this will definitely be in the fight wing of the HOF.,2024-04-14 19:21:09,1
jdmwell,"The only fight I could see him coming back for would be Dustin v. Justin 3.

If Dustin beats Islam, Justin would definitely take that fight. He could have just idled for a title fight instead of fighting Max on 300, so I could see UFC giving it to him too. Spin off Islam to fight Tsarukyan in the meantime.  I mean, Dustin's not gonna beat Islam, but we can dream, right?

If Dustin loses, I could see both of them hanging it up, but I could also see either of them calling each other out. That fight as a guaranteed double retirement fight and 1-1, would get a LOT of eyes on it. I think it's the only compelling fight for either of them at that point as well.",2024-04-14 23:58:59,2
chiezkychienne,that broken nose is a huge factor in that fight,2024-04-14 12:34:31,52
interia1099,He lost himself the fight when he rushed in like a dumbass to steal round 1 just to get his nose broken. There was no coming back from that,2024-04-14 10:41:57,39
Dry_Ad5878,"He was flinching and hurt before he even got his nose broken. His chin has to be gone, he took much harder shots from Chandler and Poirier without having such a big reaction.

It's either that or Max hits a lot harder now.",2024-04-14 20:59:28,5
PablosCocaineHippo,Gaethje wasnt looking great after the fight? You dont say lmao,2024-04-14 13:32:09,27
Reddings-Finest,There are so many dumb little boys who deepthroat these marketing-department concepts. It's almost like watching some hardcore christian telling me Jesus died for my sins.,2024-04-14 17:10:11,0
bongwatersoda,"What's Dustin got to do with it?

The point is gaethje didn't even have to take this fight he could have fought for the title instead.",2024-04-14 15:52:13,3
lctrncprn,"He’s 35, he’ll now need to take a longer layoff to get his nose rebuilt, and he slips down the pecking order of title contenders because he’s not getting a title shot off a KO loss like that. Depending how things shake out in the division, it may well have blown his last run at the title. So yeah, he had a shit load to lose.",2024-04-14 16:53:24,3
Reddings-Finest,Hush; this is a thread for people who can't think good but love Marvel movies.,2024-04-14 17:10:55,0
Mindless-Dog3203,"He's been saying for a while that he's only got a few left in him and if its not for the title he doesn't want to stick around.

I think he'll come back for one more, but if he loses that one, he'll retire.",2024-04-14 16:28:58,176
lctrncprn,He’s definitely goi g to need a king break after this one - needs to have his nose put back together again. That break was bugging him so much. ,2024-04-14 16:32:42,32
dutchfromsubway,His nose is absolutely fucked,2024-04-14 17:08:58,16
StockJellyfish671,"It hasn't stalled anything.

Dustin beat a nobody and got a title shot.",2024-04-14 20:15:52,-8
ragnarrock420,True warrior,2024-04-14 18:51:46,2
d-ronthegreat,*sobs*,2024-04-14 16:02:22,1
cryptdawarchild,"Believe me I’m not hating on Justin one bit. I love Justin as well. Dudes a warrior and makes every fight a brutal war. He’s entertaining, he’s funny, and he’s even humble at times. Overall a super likable figure in the UFC. I just happen to like Max just a little bit more, and that’s because how long he’s been dominate and doing what he’s doing. No hate towards either fighter, that was the fight all of us wanted to see barring who won or not. We wanted a war, we got one. 

I truly hope Justin has enough time and gas left in his tank but unfortunately the way that one ended, his age, and the injury history I believe it’s likely his last fight. I hope I’m wrong, and would promptly admit if I was wrong. However his path to the belt just got that much harder. It’s the UFC so we could spoon feed him but I just don’t see it going down like that. Justin has to much pride to fight nobodies.",2024-04-14 22:28:58,8
cliveusername,"100%. Max was winning by at least 4 rounds and still offered the man 10s to have a crack like the BMFs they are. Nothing but respect for Max and Justin. Unreal fight. The accidental eye pokes can not have helped, but both men left it all on the mat. Witnessed an all timer",2024-04-14 20:08:11,86
PuckPov,"Max even said in the post fight press interview that he wanted to give Gaethje that chance, because he knew that if Gaethje was up 5-0, he’d do the same for max",2024-04-14 22:07:50,17
[deleted],[deleted],2024-04-14 14:09:47,-13
TitanasGios,Sure he is one of the few that would continue and be this competitive in this condition but about the nose it’s his fault technically because he got hit . I don’t think that the 2 eye poke did that much damage to make him perform worse.,2024-04-14 21:07:56,2
TitanasGios,Oh okay I thought he was talking about the last 10 seconds,2024-04-14 19:42:57,2
gridirongavin,"Na he definitely has wasn’t performing terrible, that’s a stupid thing to say.

They were feeling each other out at range with Max getting a little more active than Gaethje but those leg kicks were landing and you could see when it was starting to mess with Max. But that turning back kick changed everything and once Gaethje breathing was noticeably bothering him Max knew it was time to turn up the pace and just land more punches.

I truly believe that if Gaethje shoots a take down once or twice this fight is totally different. But that’s the thing with a guy like Gaethje don’t expect him(especially not at UFC 300) to try and squeeze out some boring wrestling win against a guy like Max. He wanted to beat him on the feet and they both took an incredible risk there at the end that’s what warriors do man definitely one of the best endings to a fight I’ve ever seen. Maybe short of Leon/Usman 2.",2024-04-14 16:37:03,18
BoogifiedSlob,Cope,2024-04-14 15:53:01,-6
spanctimony,Yeah he was washed coming into this fight and people are going to be disappointed to learn Max still can’t beat Volk.,2024-04-14 15:50:25,-16
joncornelius,![gif](giphy|FX3OLJAUhOZNK),2024-04-15 04:07:28,3
TimTheTinyTesticle,He was next in line for a title shot against Islam and took this fight for no reason and put everything into it. You have to respect that,2024-04-14 16:00:04,42
badugihowser,Or his last chance to get laid out by a guy who's beaten him to the punch continually for 25 minutes. (With all due respect to the flash KD and leg kicks),2024-04-14 16:29:12,4
PuckPov,What the fuck kind of L take is this?,2024-04-14 22:09:04,4
DarthNutsack,Just say you didn't watch the fight and move on.,2024-04-15 01:06:16,0
Professional-Trash-3,He also kept fighting with almost no pause at all despite getting some pretty significant incidental eye pokes in each eye *after* having his nose broken badly. Justin really went out like a warrior. All heart,2024-04-14 14:29:38,86
besameput0,"He was losing. Last 10 second scrap was the only way to win.

Max gave him a chance to win. He was up 5-0 and could have just danced around the octagon.",2024-04-14 14:13:43,56
Flimsy_Biscotti3473,"The same thing Tony Ferguson did for him. 
Should’ve waited for the title fight.",2024-04-14 21:29:19,1
gotnothingman,He did for max what tony did for him.,2024-04-14 21:26:28,0
BenShapeero,Why would he be next? And not max or Arman?,2024-04-14 15:38:48,10
BenShapeero,"If there were every 2 guys you don’t want to walk into the fifth round with…

Hooker looked like a dead man.",2024-04-14 15:39:50,13
gotnothingman,"""thats for tony""",2024-04-14 21:28:34,5
ItsMichaelScott25,"Same. I love both guys but I really thought Gaethje would be too powerful for Max. 

Max just looked fantastic. Great footwork and crisp striking. Just had a real hard time finding him. Plus that spinning back kick to the nose at the end of R1 was perfectly landed and probably played a significant role in the fight (**THIS IS NOT AN EXCUSE FOR JUSTIN**)",2024-04-14 19:20:25,11
lctrncprn,"I don’t know. He’s 35 and his nose just got destroyed (and he has a history of nose issues). Finishes like that can take a toll of fighters, physically and mentally. 

He’ll need to take time off to get his nose fixed and who knows what the LW landscape will look like by the time he comes back. ",2024-04-14 16:48:51,21
RocksAndSedum,"nope. this is one of those beginning of the end fights, way too much damage.  think about how he was flinching and scared to get hit in the face because of how bad his nose was F'd (rightfully so), he is going to be like that after being out 8 - 12 months with reconstructive surgery.  Just like Silva, Weidman (and soon Conor) were never the same.",2024-04-15 00:49:35,1
splintersmaster,"Cowboy did it for much longer would be my only counter point. 

Justin's been doing it for a long time but not nearly as long as cowboy.",2024-04-14 14:12:06,5
Reddings-Finest,"Agreed. Justin deserves to be in the popularity hall of fame for being a career bridesmaid, just like Cerrone.",2024-04-14 17:08:46,2
Autotomatomato,"Breathing trough a broken nose with all that blood pooling up in the cavity is too much for any human. 
Dude gutted it out because he is a warrior but damn this game is brutal. Both of these guys are gonna wake up sore for the rest of their lives.",2024-04-14 13:59:37,19
MA-JA-HO,Yeah hopefully.,2024-04-14 12:37:43,3
MA-JA-HO,Yeah. Now he’s been slept again.,2024-04-14 10:49:11,2
MA-JA-HO,"It’s not just that, he was wobbled worse in the second Poirier fight but he was still fighting it. Here he just covered up every time.",2024-04-14 21:10:02,2
Reddings-Finest,Well he already had plenty of title shots and lost a few recently so....,2024-04-14 17:11:17,0
ZookeepergameLong727,I'll bet he goes for a McGregor fight then hang up the gloves,2024-04-14 17:46:43,89
traws06,"Ya honestly ppl seem to forget when the top guys fight each other one loss doesn’t take them out of title contention. DP lost to Gaethje and then after 1 win is (deservingly) fighting for the belt again. Gaethje can go in there against a top contender, win and be fighting for the belt again after 1 fight.",2024-04-14 22:58:56,8
Fun-Contribution-757,Nah it'll probably be a charles rematch or retirement. Dude took a bunch of damage and then got ko'd. He can't regain all the progress he lost so it's that or bust. Maybe even a dustin rematch assuming he himself doesn't retire as well after losing to islam.,2024-04-14 22:45:04,3
jdmwell,"If Poirier wins the belt (big if), I can see Justin calling for the rematch trilogy there.  It seems like his only chance at a title shot and Poirier would push very hard for it to not fight Tsarukyan, I think.

They could also spin Islam over to fight Tsarukyan during that time, so I could see it working out.

I also think they would be open to rewarding Gaethje for not just idling till the title and help making 300 incredible, plus legitimizing the BMF belt.",2024-04-14 23:46:00,1
gotnothingman,1 outs brah lets go,2024-04-14 21:25:20,6
-MC_3,"Max was up 3-1 on the scorecards, and likely 4-1",2024-04-15 01:21:07,1
RunningForIt,I don’t know much out MMA/UFC but that’s bad ass.,2024-04-14 22:17:05,7
ManInBasement,"No way gaethji would give that chance , he never take this kind of risks , its just safe counterstriking from him",2024-04-16 13:03:01,2
traws06,I find Max annoyingly cocky. But dude is a warrior and I absolutely believe that to be true. He could have coasted to decision win but instead went full out war til the end,2024-04-14 23:00:45,-12
The3mbered0ne,"? Ppl been saying that to Poirier for years now and look at who's getting a title shot next, he's far from retired",2024-04-14 15:06:53,8
WeLLrightyOH,He has to retire? I think you might be jumping to some conclusions there.,2024-04-14 15:53:42,1
applepumper,That move kept connecting throughout the fight. Gaethje tried to pick it apart but just managed to get hurt less by it,2024-04-14 21:44:31,1
TKFT_ExTr3m3,"Sure never said it wasn't but still good on him for sticking it out. And yeah they may not have really affected him but a lesser man could have used that, especially the second one to end the fight, keep his belt and go on to get a title shot. He didn't tho and kept on fight.",2024-04-14 21:56:43,1
traws06,We’ll never know with the eye poke. JG is a badass who wouldn’t complain sort of being fully blind,2024-04-14 23:01:54,1
fzkiz,"Nah, that was just Holloway being a gangster :D",2024-04-14 19:52:48,1
espanca_utero,"Yeah that kick to the nose settled the fight, fighting with a broken nose is hard asf, talking by my own experience.",2024-04-14 16:55:21,4
SpittinMenace,"Hope this is just bait. If it isn’t, then you’re an idiot!",2024-04-14 17:41:03,3
Zeeron1,"He did once, but Volk did best him twice which is fair. Max KOs him now though",2024-04-14 16:51:42,0
BoogifiedSlob,Cope,2024-04-14 15:53:08,-3
d-ronthegreat,Also I like Max but it’s objectively true that if he wasn’t so loved there’d be waaay more chatter about those back to back egregious eyepokes. Thats just a fact,2024-04-14 16:03:55,39
Reddings-Finest,"the idea that Justin was somehow the one clearly deserving of a title shot shows how much the UFC and fanbase are controlled by random america-focused popularity contests. Charles was clearly the one deserving, followed by Arman.",2024-04-14 17:07:05,-11
Reddings-Finest,I watched every minute of every fight yesterday. You're a fucking sped if you don't think that fight was highlighted by eyepokes (and a sick spinning kick end of rd 1) before the last 10 seconds.,2024-04-15 01:19:14,-3
Redchimp3769157,"4-1, let’s not act like Justin didn’t win 4",2024-04-14 16:59:13,18
fithen,"because he was next and took this fight to support the brand which the UFC historically rewards.  It seems very unlikely his team would even let him take this fight without some form of guarantee that it leads to a title shot regardless of outcome.   


And then if Dustin some how wins in june the obvious fight to book anyway is the trilogy.",2024-04-14 17:41:40,-10
Due-Contribution6424,Robbie Lawler would like a word.,2024-04-14 20:49:21,4
SpittinMenace,"Yeah I think the broken nose played a big factor. Add that with a very fast and locked in Max Holloway, you get what we saw last night.",2024-04-14 20:18:33,6
seemefail,"Remember one of the first leg kicks took Max completely out. I was like, welpwe all saw this coming.

The power mismatch was evident a few times but Max just kept plugging away and doing Max things",2024-04-14 21:28:55,2
Gocards123321,I'm not saying he'll be champ or nothing but I didn't see him beating Islam anyhow. I do think he will be back putting in exciting fights within a year. I'd argue in a years time LW will look roughly the same. Some new contenders maybe but pretty much the same,2024-04-14 17:03:04,1
Peeeing_,"Justin was IC, he's got some of the most bonuses in history, and beat multiple other HOFers (Barboza, Tferg, porier, cowboy)",2024-04-14 14:14:27,13
NeedMoreConditioning,"Let’s be for real, Cowboy only has the number of fights over Justin.

Justin has far more legendary moments and went much further towards the championship than him.",2024-04-14 18:28:53,3
lctrncprn,"And yet after his recent win against DP people were starting to talk about him being in title contention again. So however you view his chances, there’s no doubt he had a lot to lose in this fight. ",2024-04-14 17:38:59,2
Aestheticpash,Mcgregor will fight Holloway for the BMF if he beats chandler,2024-04-14 18:52:21,51
