Author,Text,Date,Score
xRedStaRx,"It wasn't even remotely close to that. If we had to rank Gaethje's fights by most damage that he has taken, this will rank 3rd or 4th. Tony ranks in the top 4 all-time damage taken in a single fight, let alone on a personal level.",2024-04-15 00:49:19,6
traws06,Humiliating an opponent by pretending to tell him what he’s doing wrong in the middle of a fight is one of the things he’s most famous for. That was extremely disrespectful,2024-04-15 04:13:05,1
lLikeTurtlez,The old Gaethje was neutralized with that fucked up nose. Not making excuses for why he lost though. Max was still piecing him up,2024-04-14 15:56:39,3
SpittinMenace,"Guy just KO’d Poirier and beat the shit out of Fiziev. To say he’s washed is absolutely ridiculous.  

“UFC fans are suckers for the latest result and extrapolate to insane degrees”, that is literally what you’re doing right now. You saw Gaethje lose and now you’re saying he’s washed and past his expiration. Irony is hilarious.",2024-04-14 18:58:22,3
BenDoverDegenerate,"That moment is forgotten because of Max's incredible KO, hurt or not, Justin is the only guy to put Max down",2024-04-14 18:32:02,14
LLfrom17th,He technically wasn’t credited with a knockdown,2024-04-14 21:56:34,1
bjwg1990,?? All 3 judges scored it for gaethje,2024-04-14 18:25:41,12
fithen,"first, its cute that you think there are rules to how the ufc works. second, yes there a quite a few instances where a fighter gets a shot off a loss and in almost all cases its to reward someone who did something to help a card, or was a big enough name to save a card on their own.",2024-04-14 17:49:58,-11
fithen,"Read that last part again, then read your comment, and tell me if you can see what’s wrong with it",2024-04-15 00:06:04,0
Peeeing_,"Dw I can see that, I'm just putting forward points as to why he should. He should be a lock for the HOF, just a shame to see him go out like this",2024-04-14 14:21:10,5
lctrncprn,"So what? I’m not arguing the merits of him getting another title shot. 

I’m simply commenting on the fact that after the DP win people were starting to mention his name as a LW title contender again - rightly or wrongly. 

And now he’s been KO’d at 300 that talk will be over.  So whether any of us thought he ever deserved a title shot again is neither here nor there - it’s undeniable that he had a lot to lose in this fight, which was the only point I was making. ",2024-04-14 17:59:54,1
traws06,Nah McGregor will lose a bunch of weight as he’s passing drug tests,2024-04-14 22:59:25,2
jdmwell,"Can't really call out Conor until he wins, I think. He could look like dogshit vs. Chandler.",2024-04-14 23:47:55,5
_blaxx,Max vs Conor would be a near pickem? In 2024?,2024-04-15 10:01:18,1
brokenclocks7,Did Max read it and say anything?,2024-04-15 17:01:15,1
Empyrean_MX_Prime,"Believe what you want. I believe a 35 year-old just got picked apart, nearly KO'd several times, then finally brutally KO'd. Will not expect to see Gaethje competing at the top level again.",2024-04-15 06:46:13,1
No-Statistician4184,I mean I could believe he was just being a nice guy. Ortega was not defending at all and getting fucked up. I was cringing watching it lol,2024-04-15 08:28:13,1
PuckPov,"That’s one example of something he did in the middle of a bout. 

What about the time he sent TKZ his gloves as a retirement gift to replace the pair that had been stolen? When he gave Dustin Poirier his signed gloves from their fight at UFC 236 to be auctioned for Dustin’s charity? When he heard that Yair Rodriguez was in an ambulance after their fight, so he went to check on him? 

Watch any post-fight interaction, any post-fight interview, max’s social media activity after any bout, win or loss, and you’ll see that he has nothing but respect for his opponents.",2024-04-15 17:20:14,1
spanctimony,Those are both low quality wins over guys with more name than ability.,2024-04-14 20:33:44,-1
LLfrom17th,He technically wasn’t credited with a knockdown,2024-04-14 21:56:18,2
daviEnnis,What are those instances?,2024-04-14 18:19:41,4
splintersmaster,It sucks he got knocked out but of all the KOs in UFC history this is definitely one of the few to not be ashamed of.,2024-04-14 14:22:18,4
Reddings-Finest,"""he had a lot to lose"". Yes, that should be the fact of every single fight lol. Regardless of who it is. That's what the UFC is about.",2024-04-14 20:08:33,1
traws06,Haha ya Max had no intentions of being nice with that. Is was purely showboating and humiliating his opponent,2024-04-15 13:04:37,1
traws06,"Ya honestly it’s prolly his fans that annoy me more than him. The narrative of him being the best boxer in the UFC is silly being he’s been outboxed multiple times in his career. And it does annoy me with him that he can get outboxed then still keep yelling “I’m the best boxer in the UFC”. You can say it’s confidence, yet ppl get annoyed with other fighters for that type of thing. In Jamal Hill goes on social media now and says “I’m the best fighter at 205 ever” ppl are gonna bash him for saying that.",2024-04-15 17:37:35,1
Current-Taro-7397,![gif](giphy|pD7YIQoUwgb9cnX3FJ|downsized),2024-04-14 20:51:50,1
forgettable_nonsense,"Technically chris weidman won that last fight. Shit happens, I hear ya but he did knock him down.",2024-04-15 01:20:41,2
NoobInvestorr,"BJ Penn - Lost to GSP. Then fought Matt Hughes for the title

Yoel Romero - Lost twice (Costa, Whittaker), then fought Izzy

Nick Diaz - Lost to Condit(?). Then fought GSP for the title.

Izzy will most likely fight DDP now for the title, after losing to Strickland.

Stipe was/is scheduled to fight JBJ after losing to Ngannou.",2024-04-14 19:19:05,2
fithen,[https://letmegooglethat.com/?q=ufc+fighters+getting+a+title+shot+off+a+loss](https://letmegooglethat.com/?q=ufc+fighters+getting+a+title+shot+off+a+loss),2024-04-14 18:47:03,-2
Peeeing_,Just also a shame newer fans will only recognise him for that,2024-04-14 14:28:13,3
lctrncprn,"Yes, which is why I responded to someone saying he didnnt have anything to lose by saying that he actually did have a lot to lose. I have no idea why that triggered you into trying to argue with me over a bunch of other random points that I never made. 

Anyway, I’m glad you found the point eventually. Better late than never.",2024-04-14 22:15:33,0
